Regions,Year,Growth Rate (%)
Bắc Trung Bộ,2020,0
Bắc Trung Bộ,2021,11.41199226
Bắc Trung Bộ,2022,-0.483230927
Bắc Trung Bộ,2023,-0.934977651
Bắc Trung Bộ,2024,1.105295192
Đồng bằng sông Cửu Long,2020,0
Đồng bằng sông Cửu Long,2021,6.176743918
Đồng bằng sông Cửu Long,2022,5.987040744
Đồng bằng sông Cửu Long,2023,1.21055765
Đồng bằng sông Cửu Long,2024,3.616065781
Đồng bằng sông Hồng,2020,0
Đồng bằng sông Hồng,2021,18.31801293
Đồng bằng sông Hồng,2022,-3.781854984
Đồng bằng sông Hồng,2023,4.783578829
Đồng bằng sông Hồng,2024,6.90315652
Đông Nam Bộ,2020,0
Đông Nam Bộ,2021,12.59019812
Đông Nam Bộ,2022,-0.048777175
Đông Nam Bộ,2023,2.735943465
Đông Nam Bộ,2024,2.690742044
Duyên hải Nam Trung Bộ,2020,0
Duyên hải Nam Trung Bộ,2021,24.7641758
Duyên hải Nam Trung Bộ,2022,10.45184317
Duyên hải Nam Trung Bộ,2023,2.55451773
Duyên hải Nam Trung Bộ,2024,1.456125141
Tây Nguyên,2020,0
Tây Nguyên,2021,14.99717145
Tây Nguyên,2022,1.96095062
Tây Nguyên,2023,4.816410734
Tây Nguyên,2024,1.833275134
Trung du và miền núi Bắc Bộ,2020,0
Trung du và miền núi Bắc Bộ,2021,3.900396469
Trung du và miền núi Bắc Bộ,2022,2.863874719
Trung du và miền núi Bắc Bộ,2023,2.718585873
Trung du và miền núi Bắc Bộ,2024,4.932126017
