Mon1,Mon2,Correlation
toan,toan,1.0
toan,ngu_van,0.4401794737560056
toan,ngoai_ngu,0.5595336633936696
toan,vat_li,0.5663743293285187
toan,hoa_hoc,0.46676213080489476
toan,sinh_hoc,0.2329192077128474
toan,lich_su,0.4154962636905446
toan,dia_li,0.4724234347293204
toan,gdcd,0.46778404513304406
ngu_van,toan,0.4401794737560056
ngu_van,ngu_van,1.0
ngu_van,ngoai_ngu,0.37110984664108404
ngu_van,vat_li,0.1605408113652139
ngu_van,hoa_hoc,0.17527525277740422
ngu_van,sinh_hoc,0.2925006049889062
ngu_van,lich_su,0.45634017593545423
ngu_van,dia_li,0.4452969116842368
ngu_van,gdcd,0.4396042530231528
ngoai_ngu,toan,0.5595336633936696
ngoai_ngu,ngu_van,0.37110984664108404
ngoai_ngu,ngoai_ngu,1.0
ngoai_ngu,vat_li,0.29426232573746314
ngoai_ngu,hoa_hoc,0.06754673927701756
ngoai_ngu,sinh_hoc,0.2519643450481346
ngoai_ngu,lich_su,0.34757876828644274
ngoai_ngu,dia_li,0.314185254311725
ngoai_ngu,gdcd,0.3562761054503045
vat_li,toan,0.5663743293285187
vat_li,ngu_van,0.1605408113652139
vat_li,ngoai_ngu,0.29426232573746314
vat_li,vat_li,1.0
vat_li,hoa_hoc,0.38268007181169666
vat_li,sinh_hoc,0.12134789490515388
hoa_hoc,toan,0.46676213080489476
hoa_hoc,ngu_van,0.17527525277740422
hoa_hoc,ngoai_ngu,0.06754673927701756
hoa_hoc,vat_li,0.38268007181169666
hoa_hoc,hoa_hoc,1.0
hoa_hoc,sinh_hoc,0.3866258344805364
sinh_hoc,toan,0.2329192077128474
sinh_hoc,ngu_van,0.2925006049889062
sinh_hoc,ngoai_ngu,0.2519643450481346
sinh_hoc,vat_li,0.12134789490515388
sinh_hoc,hoa_hoc,0.3866258344805364
sinh_hoc,sinh_hoc,1.0
lich_su,toan,0.4154962636905446
lich_su,ngu_van,0.45634017593545423
lich_su,ngoai_ngu,0.34757876828644274
lich_su,lich_su,1.0
lich_su,dia_li,0.5573213231872506
lich_su,gdcd,0.48030985742347027
dia_li,toan,0.4724234347293204
dia_li,ngu_van,0.4452969116842368
dia_li,ngoai_ngu,0.314185254311725
dia_li,lich_su,0.5573213231872506
dia_li,dia_li,1.0
dia_li,gdcd,0.5499432037898411
gdcd,toan,0.46778404513304406
gdcd,ngu_van,0.4396042530231528
gdcd,ngoai_ngu,0.3562761054503045
gdcd,lich_su,0.48030985742347027
gdcd,dia_li,0.5499432037898411
gdcd,gdcd,1.0
