code,national examination board,province,regions
1,Sở GD&ĐT Hà Nội,Hà Nội,Đồng bằng sông Hồng
2,Sở GD&ĐT TP. Hồ Chí Minh,TP. Hồ Chí Minh,Đông Nam Bộ
3,Sở GD&ĐT Hải Phòng,Hải Phòng,Đồng bằng sông Hồng
4,Sở GD&ĐT Đà Nẵng,Đà Nẵng,Duyên hải Nam Trung Bộ
5,Sở GD&ĐT Hà Giang,Hà Giang,Trung du và miền núi phía Bắc
6,Sở GD&ĐT Cao Bằng,Cao Bằng,Trung du và miền núi phía Bắc
7,Sở GD&ĐT Lai Châu,Lai Châu,Trung du và miền núi phía Bắc
8,Sở GD&ĐT Lào Cai,Lào Cai,Trung du và miền núi phía Bắc
9,Sở GD&ĐT Tuyên Quang,Tuyên Quang,Trung du và miền núi phía Bắc
10,Sở GD&ĐT Lạng Sơn,Lạng Sơn,Trung du và miền núi phía Bắc
11,Sở GD&ĐT Bắc Kạn,Bắc Kạn,Trung du và miền núi phía Bắc
12,Sở GD&ĐT Thái Nguyên,Thái Nguyên,Trung du và miền núi phía Bắc
13,Sở GD&ĐT Yên Bái,Yên Bái,Trung du và miền núi phía Bắc
14,Sở GD&ĐT Sơn La,Sơn La,Trung du và miền núi phía Bắc
15,Sở GD&ĐT Phú Thọ,Phú Thọ,Trung du và miền núi phía Bắc
16,Sở GD&ĐT Vĩnh Phúc,Vĩnh Phúc,Đồng bằng sông Hồng
17,Sở GD&ĐT Quảng Ninh,Quảng Ninh,Đồng bằng sông Hồng
18,Sở GD&ĐT Bắc Giang,Bắc Giang,Trung du và miền núi phía Bắc
19,Sở GD&ĐT Bắc Ninh,Bắc Ninh,Đồng bằng sông Hồng
21,Sở GD&ĐT Hải Dương,Hải Dương,Đồng bằng sông Hồng
22,Sở GD&ĐT Hưng Yên,Hưng Yên,Đồng bằng sông Hồng
23,Sở GD&ĐT Hoà Bình,Hoà Bình,Trung du và miền núi phía Bắc
24,Sở GD&ĐT Hà Nam,Hà Nam,Đồng bằng sông Hồng
25,Sở GD&ĐT Nam Định,Nam Định,Đồng bằng sông Hồng
26,Sở GD&ĐT Thái Bình,Thái Bình,Đồng bằng sông Hồng
27,Sở GD&ĐT Ninh Bình,Ninh Bình,Đồng bằng sông Hồng
28,Sở GD&ĐT Thanh Hoá,Thanh Hoá,Bắc Trung Bộ
29,Sở GD&ĐT Nghệ An,Nghệ An,Bắc Trung Bộ
30,Sở GD&ĐT Hà Tĩnh,Hà Tĩnh,Bắc Trung Bộ
31,Sở GD&ĐT Quảng Bình,Quảng Bình,Bắc Trung Bộ
32,Sở GD&ĐT Quảng Trị,Quảng Trị,Bắc Trung Bộ
33,Sở GD&ĐT Thừa Thiên Huế,Thừa Thiên Huế,Bắc Trung Bộ
34,Sở GD&ĐT Quảng Nam,Quảng Nam,Duyên hải Nam Trung Bộ
35,Sở GD&ĐT Quảng Ngãi,Quảng Ngãi,Duyên hải Nam Trung Bộ
36,Sở GD&ĐT Kon Tum,Kon Tum,Tây Nguyên
37,Sở GD&ĐT Bình Định,Bình Định,Duyên hải Nam Trung Bộ
38,Sở GD&ĐT Gia Lai,Gia Lai,Tây Nguyên
39,Sở GD&ĐT Phú Yên,Phú Yên,Duyên hải Nam Trung Bộ
40,Sở GD&ĐT Đắk Lắk,Đắk Lắk,Tây Nguyên
41,Sở GD&ĐT Khánh Hoà,Khánh Hoà,Duyên hải Nam Trung Bộ
42,Sở GD&ĐT Lâm Đồng,Lâm Đồng,Tây Nguyên
43,Sở GD&ĐT Bình Phước,Bình Phước,Đông Nam Bộ
44,Sở GD&ĐT Bình Dương,Bình Dương,Đông Nam Bộ
45,Sở GD&ĐT Ninh Thuận,Ninh Thuận,Duyên hải Nam Trung Bộ
46,Sở GD&ĐT Tây Ninh,Tây Ninh,Đông Nam Bộ
47,Sở GD&ĐT Bình Thuận,Bình Thuận,Duyên hải Nam Trung Bộ
48,Sở GD&ĐT Đồng Nai,Đồng Nai,Đông Nam Bộ
49,Sở GD&ĐT Long An,Long An,Đồng bằng sông Cửu Long
50,Sở GD&ĐT Đồng Tháp,Đồng Tháp,Đồng bằng sông Cửu Long
51,Sở GD&ĐT An Giang,An Giang,Đồng bằng sông Cửu Long
52,Sở GD&ĐT Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Đông Nam Bộ
53,Sở GD&ĐT Tiền Giang,Tiền Giang,Đồng bằng sông Cửu Long
54,Sở GD&ĐT Kiên Giang,Kiên Giang,Đồng bằng sông Cửu Long
55,Sở GD&ĐT Cần Thơ,Cần Thơ,Đồng bằng sông Cửu Long
56,Sở GD&ĐT Bến Tre,Bến Tre,Đồng bằng sông Cửu Long
57,Sở GD&ĐT Vĩnh Long,Vĩnh Long,Đồng bằng sông Cửu Long
58,Sở GD&ĐT Trà Vinh,Trà Vinh,Đồng bằng sông Cửu Long
59,Sở GD&ĐT Sóc Trăng,Sóc Trăng,Đồng bằng sông Cửu Long
60,Sở GD&ĐT Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long
61,Sở GD&ĐT Cà Mau,Cà Mau,Đồng bằng sông Cửu Long
62,Sở GD&ĐT Điện Biên,Điện Biên,Trung du và miền núi phía Bắc
63,Sở GD&ĐT Đắk Nông,Đắk Nông,Tây Nguyên
64,Sở GD&ĐT Hậu Giang,Hậu Giang,Đồng bằng sông Cửu Long
65,Cục Nhà trường - Bộ Quốc phòng,Bộ Quốc phòng,
